,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,1stcase,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
136,Gabon,7,0,1.0,0,0.0,6,0,3.0,0.4,Mar 12,2226000.0,-0.803689,11.609444,0.0003144654088050315,0.0,85.71428571428571,14.285714285714285
137,Antigua and Barbuda,7,0,0.0,0,0.0,7,0,71.0,0,Mar 12,98000.0,17.060816,-61.796428000000006,0.0071428571428571435,0.0,100.0,0.0
138,Sudan,6,+1,1.0,0,0.0,5,0,0.1,0.02,Mar 12,43849000.0,12.862807,30.217636,1.3683322310657028e-05,0.0,83.33333333333334,16.666666666666664
139,Nepal,5,0,0.0,0,1.0,4,0,0.2,0,Jan 23,29137000.0,28.394857000000002,84.12400799999999,1.7160311631259224e-05,20.0,80.0,0.0
140,Mauritania,5,0,0.0,0,0.0,5,0,1.0,0,Mar 12,4650000.0,21.00789,-10.940835,0.00010752688172043011,0.0,100.0,0.0
141,St. Barth,5,0,0.0,0,0.0,5,0,506.0,0,Feb 29,10000.0,17.896179999999998,-62.84978,0.05,0.0,100.0,0.0
142,Bhutan,4,+1,0.0,0,0.0,4,0,5.0,0,Mar 05,772000.0,27.514162,90.433601,0.0005181347150259067,0.0,100.0,0.0
143,Saint Lucia,4,+1,0.0,0,1.0,3,0,22.0,0,Mar 12,184000.0,13.909444,-60.97889300000001,0.002173913043478261,25.0,75.0,0.0
144,St. Vincent Grenadines,1,0,0.0,0,1.0,0,0,9.0,0,Mar 10,111000.0,12.984305,-61.287228000000006,0.0009009009009009009,100.0,0.0,0.0
145,China,81439,+45,3300.0,+5,75448.0,2691,742.0,57.0,2.0,Jan 10,1439324000.0,35.86166,104.195397,0.005658142294577177,92.64357371775193,3.30431365807537,4.052112624172693
146,Total:,707684,"+44,602",33524.0,"+2,668",150732.0,523428,26703.0,90.8,4.3,0,7794798728.999999,1.0,1.0,0.009078925891532152,21.299336992216865,73.96352044132692,4.737142566456215
